Marke,Modell,Farbe,Erstzulassung,Jahr,Preis (Euro),Leistung (kW),Leistung (PS),Getriebe,Kraftstoff,Verbrauch (l/100 km),Kilometerstand (km),Bemerkungen,Zustand
mercedes-benz,Mercedes-Benz C 220,blau,09/2022,2022,53665,143,194,Automatik,Diesel,5.3,10143.0,"d 4M Cabrio SPORTSTYLE+AMG+19""+COMAND+AHK",junger Gebrauchtwagen
bmw,BMW 118,weiß,12/2013,2013,9898,105,143,Schaltgetriebe,Benzin,6.5,175000.0,118i Cabrio Edition Exclusive 1-Hand Leder Klimaau,Gebrauchtwagen
mercedes-benz,Mercedes-Benz V 250,blau,09/2017,2017,41950,140,190,Automatik,Diesel,6.0,66640.0,EDITION Kompakt AMG Line LED Kamera,Gebrauchtwagen
volkswagen,Volkswagen T-Roc,silber,10/2020,2020,33890,110,150,Automatik,Benzin,5.8,16778.0,T-ROC CABRIO 1.5 TSI DSG R-LINE NAVI LED LEDER KAM,junger Gebrauchtwagen
opel,Opel Insignia,grau,12/2017,2017,11290,121,165,Automatik,Benzin,5.8,94215.0,B Sports Tourer Business INNOVATION HUD Navi Leder,Gebrauchtwagen
opel,Opel Crossland,grau,06/2017,2017,14995,96,131,Schaltgetriebe,Benzin,5.0,82499.0,1.2 Turbo*Edition*WinterPak*PDC*Verkehrszeichen*,Gebrauchtwagen
audi,Audi A5,grau,08/2016,2016,21900,130,177,Automatik,Benzin,5.5,86982.0,1.8 TFSI* 2xS line*PANO*KEYLESS,Gebrauchtwagen
skoda,Skoda Kodiaq,grau,01/2019,2019,39950,140,190,Automatik,Diesel,5.7,78164.0,Kodiaq Sportline 4x4 DCC AHK 360° Pano STHZ ACC,Gebrauchtwagen
mercedes-benz,Mercedes-Benz Vito,grau,07/2017,2017,24978,100,136,Schaltgetriebe,Diesel,6.6,95000.0,114 CDI MIXTO LANG|WIE NEU|1.HD|AC|STD HZG,Gebrauchtwagen
ford,Ford Focus,weiß,02/2013,2013,6999,92,125,Schaltgetriebe,Benzin,5.1,119000.0,Focus Turnier 1.0 EcoBoost Start-Stopp-System Cham,Gebrauchtwagen
renault,Renault Grand Scenic,weiß,05/2011,2011,8900,103,140,Automatik,Benzin,8.1,118255.0,"III  2,0 16V Dynamique / Automatik",Gebrauchtwagen
skoda,Skoda Kodiaq,weiß,10/2019,2019,32500,140,190,Automatik,Benzin,6.7,59495.0,2.0 TSI 4x4 DSG Style AHK 2.2 To,Gebrauchtwagen
volkswagen,Volkswagen Golf,rot,12/2015,2015,24000,221,300,Schaltgetriebe,Benzin,7.1,64000.0,7 R 4MOTION BMT 64TKM,Gebrauchtwagen
ford,Ford Fiesta,schwarz,11/2015,2015,7300,60,82,Schaltgetriebe,Benzin,5.2,124000.0,Trend,Gebrauchtwagen
volkswagen,Volkswagen Polo,blau,09/2002,2002,1999,47,64,Schaltgetriebe,Benzin,6.3,153000.0,"Caravelle 2,5TDI 150PS neu Tüv Standheizung",Gebrauchtwagen
citroen,Citroen Berlingo,weiß,06/2018,2018,25980,73,99,Schaltgetriebe,Diesel,4.3,62100.0,1.6 Feel rollstuhlgerecht,Gebrauchtwagen
seat,SEAT Leon,grau,05/2023,2023,35188,140,190,Automatik,Benzin,6.1,10.0,2.0 TSI 190 DSG FR LED Nav 18Z Beats ParkA,Neuwagen
toyota,Toyota Avensis,silber,12/2003,2003,3000,108,147,Schaltgetriebe,Benzin,7.5,233518.0,Avensis 2.0 VVT-i Combi Executive,Gebrauchtwagen
audi,Audi A3,blau,12/2010,2010,6730,103,140,Schaltgetriebe,Diesel,5.0,235025.0,SB 2.0TDI qu.Ambition TEMP-BiXENON-APS-SITZHZ,Gebrauchtwagen
opel,Opel Karl,blau,01/2018,2018,12990,55,75,Automatik,Benzin,4.6,39990.0,Rocks Automatik / Klima / Alufelgen,Gebrauchtwagen
toyota,Toyota Avensis,schwarz,11/2017,2017,18990,108,147,Automatik,Benzin,6.0,82000.0,TS 1.8 Edition S+ *Navi*Kamera*Smart-Key*,Gebrauchtwagen
opel,Opel Insignia,grau,01/2018,2018,17948,100,136,Schaltgetriebe,Diesel,5.3,135000.0,1.6 Diesel  Business *Panorama*Navi*,Gebrauchtwagen
seat,SEAT Arona,weiß,12/2022,2022,27250,110,150,Automatik,Benzin,6.3,20.0,1.5 TSI DSG FR ACC / Voll-LED / 18 / Kessy,junger Gebrauchtwagen
mercedes-benz,Mercedes-Benz C 300,blau,12/2020,2020,45449,190,258,Automatik,Benzin,7.5,33090.0,Cabrio AMG 3x HIGH END-DISTRONIC-360°-DAB,junger Gebrauchtwagen
audi,Audi A3,weiß,04/2016,2016,14900,81,110,Schaltgetriebe,Diesel,4.1,125000.0,A3 1.6 TDI Cabrio (clean diesel) Ambiente,Gebrauchtwagen
seat,SEAT Leon,weiß,06/2022,2022,28880,110,150,Automatik,Benzin,4.8,16000.0,Sportstourer 1.5 eTSI FR DSG Beats Kessy,junger Gebrauchtwagen
skoda,Skoda Octavia,grau,04/2018,2018,26500,169,230,Automatik,Benzin,6.6,59500.0,Combi 2.0 TSI DSG RS,Gebrauchtwagen
seat,SEAT Leon,rot,03/2021,2021,22990,96,131,Schaltgetriebe,Benzin,4.8,26700.0,ST 1.5 TSI Style+AHK+PDC+FULL LINK+LED+GRA,junger Gebrauchtwagen
dacia,Dacia Sandero,weiß,06/2020,2020,9930,54,73,Schaltgetriebe,Benzin,5.2,49623.0,1.0 SCe Essential*KLIMA*GARANTIE*,junger Gebrauchtwagen
volkswagen,Volkswagen Polo,blau,05/2012,2012,9950,66,90,Schaltgetriebe,Diesel,3.7,91863.0,1.6TDI Match BMT*SHZ*Klima*PDC*AUX*,Gebrauchtwagen
audi,Audi A1,schwarz,10/2011,2011,8999,90,122,Schaltgetriebe,Benzin,5.3,149000.0,1.4 TFSI Ambition | Scheckheft gepfelgt | 8-fach,Gebrauchtwagen
bmw,BMW 320,schwarz,11/2007,2007,9900,125,170,Schaltgetriebe,Benzin,6.6,180000.0,320i Cabrio,Gebrauchtwagen
volkswagen,Volkswagen Jetta,beige,06/2008,2008,7880,75,102,Schaltgetriebe,Benzin,7.4,48000.0,1.6 United 1.Hand|Lückenlos Scheckheft!,Gebrauchtwagen
mercedes-benz,Mercedes-Benz C 220,weiß,10/2019,2019,22850,143,194,Automatik,Diesel,4.5,104250.0,d T*Avantgarde*9 G-Tr*NAVI*LED*Night*EU6dT,Gebrauchtwagen
skoda,Skoda Kamiq,rot,08/2020,2020,18990,85,116,Schaltgetriebe,Benzin,5.0,97186.0,1.0 TSI DRIVE 125 LED AAC SHZ TEMP PDC,junger Gebrauchtwagen
bmw,BMW 220,weiß,06/2015,2015,10950,141,192,Schaltgetriebe,Benzin,6.1,181200.0,i Cabrio SportLine/Navi/Xenon/HiFi/Leder/PDC,Gebrauchtwagen
volkswagen,Volkswagen Touareg,schwarz,10/2018,2018,29300,210,286,Automatik,Diesel,6.6,34883.0,3.0 V6 TDI Atmosphere 4 Motion Standheizung AHK,Gebrauchtwagen
opel,Opel Astra,silber,11/2016,2016,7999,70,95,Schaltgetriebe,Diesel,3.6,160925.0,K Sports Tourer Edition *2.Hand*EURO6*NAVI,Gebrauchtwagen
toyota,Toyota Corolla,silber,04/2006,2006,4990,81,110,Schaltgetriebe,Benzin,7.0,137200.0,1.6 Edition-2-Hand-Scheckheft-Tempomat-PDC-Sitzhei,Gebrauchtwagen
mercedes-benz,Mercedes-Benz SLK 200,schwarz,09/2004,2004,9488,120,163,Schaltgetriebe,Benzin,8.7,112000.0,SLK 200 Kompressor,Gebrauchtwagen
kia,Kia Ceed / cee'd,schwarz,05/2022,2022,25980,118,160,Schaltgetriebe,Benzin,5.8,9250.0,1.5 T-GDI EU6d 5 1.5T Spirit++NAVI+PDC+SHZ++,junger Gebrauchtwagen
ford,Ford Transit,weiß,09/2011,2011,19500,103,140,Schaltgetriebe,Diesel,8.3,170000.0,350 L TDCi TEMPOMAT TÜV NEU Ausbaufähig,Gebrauchtwagen
audi,Audi A1,grau,11/2013,2013,12800,105,143,Schaltgetriebe,Diesel,4.1,166000.0,A1 2.0 TDI Sportback Ambition,Gebrauchtwagen
land-rover,Land Rover Defender,grün,01/2023,2023,75902,147,200,Automatik,Diesel,7.8,6550.0,D200 SE,Jahreswagen
mercedes-benz,Mercedes-Benz A 180,rot,11/2018,2018,24990,100,136,Automatik,Benzin,5.5,74000.0,7g-dct PROGRESSIVE Automatik,Gebrauchtwagen
opel,Opel Insignia,braun,12/2020,2020,18490,90,122,Schaltgetriebe,Diesel,5.5,90966.0,B Sports Tourer 1.5 Diesel Klima,junger Gebrauchtwagen
volkswagen,Volkswagen Golf,rot,08/2018,2018,22320,169,230,Automatik,Benzin,6.3,99269.0,VII GTI 2.0 TSI DSG NAVI/LED/ACC/LIGHT-ASSIST,Gebrauchtwagen
mazda,Mazda CX-3,rot,06/2017,2017,15999,88,120,Schaltgetriebe,Benzin,5.8,76000.0,SKYACTIV-G 120 SKYACTIV-Drive FWD Sports-Line,Gebrauchtwagen
volkswagen,Volkswagen Caddy,weiß,08/2014,2014,13900,75,102,Schaltgetriebe,Diesel,5.7,85750.0,Kasten/Kombi Kombi EcoProfi,Gebrauchtwagen
seat,SEAT Ateca,grau,11/2019,2019,26980,110,150,Automatik,Benzin,5.7,30550.0,1.5 TSI ACT DSG OPF,Gebrauchtwagen
opel,Opel Astra,silber,06/2019,2019,17490,92,125,Schaltgetriebe,Benzin,5.8,19437.0,K 1.4 Turbo Dynamic DynLi LM KlimaA,Gebrauchtwagen
ford,Ford Mondeo,silber,01/2017,2017,22990,132,179,Schaltgetriebe,Diesel,4.8,89997.0,Turnier 2.0 TDCi ST-Line LED Navi Pano DAB,Gebrauchtwagen
kia,Kia Ceed / cee'd,weiß,10/2022,2022,22499,88,120,Schaltgetriebe,Benzin,5.8,10.0,Ceed 1.0 T-GDI Vision 120 PS,junger Gebrauchtwagen
seat,SEAT Leon,rot,11/2016,2016,15990,110,150,Automatik,Benzin,4.7,64849.0,1.4 TSI ST FR ACT *Pano* *Navi* *Klimaauto.*,Gebrauchtwagen
hyundai,Hyundai i10,silber,01/2023,2023,16990,49,67,Schaltgetriebe,Benzin,4.8,50.0,1.0 CONNECT&FO +NAVI+RFK+PDC,Jahreswagen
mercedes-benz,Mercedes-Benz C 350,silber,06/2013,2013,19999,225,306,Automatik,Benzin,7.4,163000.0,4Matic (BlueEFFICIENCY) 7G-TRONIC Elegance,Gebrauchtwagen
volkswagen,Volkswagen Caddy,blau,05/2023,2023,33380,84,114,Automatik,Benzin,6.6,10.0,1.5 TSI DSG Family,Neuwagen
renault,Renault Clio,weiß,12/2010,2010,3500,55,75,Schaltgetriebe,Benzin,6.2,113000.0,Campus Authentique II (B/CB0),Gebrauchtwagen
volkswagen,Volkswagen T6 Multivan,schwarz,06/2021,2021,55975,150,204,Automatik,Diesel,6.8,24950.0,6.1 2.0 TDI DSG Comfortline lang 8 Sitze,junger Gebrauchtwagen
ford,Ford Focus,schwarz,01/2013,2013,6800,120,163,Schaltgetriebe,Diesel,5.2,209000.0,Turnier 2.0 TDCi DPF Aut. Titanium,Gebrauchtwagen
citroen,Citroen C3 Aircross,weiß,12/2022,2022,23950,81,110,Schaltgetriebe,Benzin,5.0,50.0,PureTech 110 S&S C-Series SHZ LED,junger Gebrauchtwagen
seat,SEAT Leon,schwarz,04/2022,2022,22940,96,131,Schaltgetriebe,Benzin,5.5,9240.0,1.5 TSI Style Full Link Navi PDC RFK,junger Gebrauchtwagen
audi,Audi Q5,grau,10/2012,2012,20997,130,177,Automatik,Diesel,6.1,187000.0,2.0 TDI quattro S tronic,Gebrauchtwagen
peugeot,Peugeot 107,schwarz,10/2008,2008,1200,50,68,Schaltgetriebe,Benzin,4.6,186000.0,70 Urban Move,Gebrauchtwagen
ford,Ford Fiesta,rot,09/2020,2020,27440,147,200,Schaltgetriebe,Benzin,6.0,32.0,"1,5 EcoB ST Styling WiPa Pano B&O DAB",junger Gebrauchtwagen
skoda,Skoda Fabia,grau,06/2022,2022,20239,59,80,Schaltgetriebe,Benzin,4.5,2000.0,Ambition IV  1.0 MPI 80 PS,junger Gebrauchtwagen
mercedes-benz,Mercedes-Benz GLA 220,silber,12/2017,2017,22480,130,177,Automatik,Diesel,4.8,71000.0,d 4Matic Urban Navi LED H&K 360° NightP.,Gebrauchtwagen
volkswagen,Volkswagen Tiguan,blau,06/2023,2023,74998,235,320,Automatik,Benzin,9.6,60.0,"R 2.0 TSI 4M BLACK STYLE NAVI LEDER AHK 21""",Jahreswagen
fiat,Fiat Doblo,weiß,09/2020,2020,29800,59,80,Schaltgetriebe,Diesel,5.0,100000.0,Basis Kasten,junger Gebrauchtwagen
seat,SEAT Ateca,blau,01/2020,2020,17922,85,116,Schaltgetriebe,Diesel,4.6,103732.0,1.6 TDI BMT STYLE Tempomat PDC 17 Zoll Klima,junger Gebrauchtwagen
audi,Audi A3,silber,11/2017,2017,16000,85,116,Schaltgetriebe,Diesel,4.0,91000.0,A3 1.6 TDI Limousine,Gebrauchtwagen
hyundai,Hyundai iX20,weiß,09/2012,2012,8950,66,90,Schaltgetriebe,Benzin,6.0,61000.0,1.4 UEFA EURO 2012 Edition,Gebrauchtwagen
mercedes-benz,Mercedes-Benz C 250,silber,07/2015,2015,25900,155,211,Automatik,Benzin,5.6,102815.0,CGI T*AMG Line *Navi*RFK*HUD*Leder*LM 18,Gebrauchtwagen
mercedes-benz,Mercedes-Benz C 250,grau,06/2015,2015,22900,150,204,Automatik,Diesel,4.8,146000.0,C 250 (BlueTEC) d 4Matic 7G-TRONIC AMG Line,Gebrauchtwagen
dacia,Dacia Sandero,grün,03/2010,2010,2750,55,75,Schaltgetriebe,Benzin,5.9,137000.0,1.2 Ambiance Klima,Gebrauchtwagen
mercedes-benz,Mercedes-Benz S 500,silber,10/2003,2003,7990,225,306,Automatik,Benzin,13.4,168000.0,Coupe Kompressor !!!Orig 44989KM!!!!,Gebrauchtwagen
skoda,Skoda Citigo,rot,06/2019,2019,8285,44,60,Schaltgetriebe,Benzin,4.2,74700.0,Active 1.0 KLIMAANLAGE+RADIO+DAB,Gebrauchtwagen
volkswagen,Volkswagen Passat Variant,silber,10/2014,2014,13900,103,140,Automatik,Diesel,5.3,168000.0,Passat Variant 2.0 Blue TDI DSG SCR Business Editi,Gebrauchtwagen
opel,Opel Vectra,silber,01/2008,2008,950,110,150,Schaltgetriebe,Diesel,6.2,300000.0,Edition Plus C Caravan,Gebrauchtwagen
opel,Opel Astra,weiß,11/2019,2019,17980,96,131,Schaltgetriebe,Benzin,5.5,23380.0,"K 1.2T Elegance Navi,AGR,KlimaA,RückfahrK",Gebrauchtwagen
opel,Opel Mokka,grau,08/2022,2022,22985,96,131,Schaltgetriebe,Benzin,4.9,6200.0,Elegance 1.2T 96kW LED 180°Kamera Zweifarbig,junger Gebrauchtwagen
skoda,Skoda Superb,grau,10/2021,2021,36340,147,200,Automatik,Diesel,5.5,34590.0,COMBI 2.0 TDI DSG Ambition | NAVI | ACC |,junger Gebrauchtwagen
skoda,Skoda Fabia,blau,12/2018,2018,11900,55,75,Schaltgetriebe,Benzin,4.8,12000.0,Cool Plus (NJ3),Gebrauchtwagen
ford,Ford Tourneo Connect,grau,07/2016,2016,14890,88,120,Schaltgetriebe,Diesel,4.6,152976.0,"1,5TDCI Navi Panoramadach Kamera",Gebrauchtwagen
seat,SEAT Ibiza,schwarz,04/2019,2019,15650,85,116,Schaltgetriebe,Benzin,4.8,60450.0,1.0 TSI Xcellence BEATS Full-Link LED RFK+PDC K...,Gebrauchtwagen
bmw,BMW 318,schwarz,05/2006,2006,4200,95,129,Schaltgetriebe,Benzin,7.6,203000.0,i Touring (E91),Gebrauchtwagen
seat,SEAT Arona,schwarz,05/2019,2019,21220,110,150,Schaltgetriebe,Benzin,5.0,27350.0,1.5 TSI FR Navi|Kamera|LED|Sitzhzg,Gebrauchtwagen
mercedes-benz,Mercedes-Benz E 200,blau,09/2017,2017,30980,135,184,Automatik,Benzin,6.0,67570.0,2x Ava+Coupé+Ambiente+RüKam+Spiegel-Pak+,Gebrauchtwagen
peugeot,Peugeot 1007,schwarz,06/2007,2007,6890,80,109,Automatik,Benzin,6.6,97000.0,Peugeot 1007 Sport 1.6 AUTOMATIK KLIMA PDC TOP!,Gebrauchtwagen
ford,Ford Galaxy,silber,01/2007,2007,5800,96,131,Schaltgetriebe,Diesel,6.5,265000.0,Trend (CA1) 2.0 TDCI DPF 7 Sitze PDC Klima,Gebrauchtwagen
bmw,BMW 525,schwarz,03/2011,2011,19990,150,204,Automatik,Diesel,6.2,138000.0,d M-SPORTPAKET INDIVIDUAL ACC HEAD-UP SOFT-CL,Gebrauchtwagen
nissan,Nissan Navara,weiß,10/2018,2018,35000,140,190,Automatik,Diesel,6.9,70000.0,Navara DC 4x4 Autm. EU6 Tekna,Gebrauchtwagen
ford,Ford Fiesta,rot,06/2023,2023,25350,92,125,Automatik,Benzin,6.1,10.0,1.0 EcoBoost M-Hybrid Titanium X FLA,Neuwagen
ford,Ford S-Max,schwarz,08/2017,2017,20000,132,179,Automatik,Diesel,5.2,114000.0,"Titanium TDCI Aut.*NAVI*Kamera*7Sitzer*LED*18""Alus",Gebrauchtwagen
audi,Audi A6,blau,05/2019,2019,54880,250,340,Automatik,Benzin,9.0,42255.0,S line B&O|Sthzg|Tour|Stadt|AHK|HuD|AIR,Gebrauchtwagen
mercedes-benz,Mercedes-Benz 200,silber,07/2002,2002,5900,120,163,Automatik,Benzin,9.6,114000.0,"CLK Cabrio 200 Kompressor, Automatik, Bose, Navi",Gebrauchtwagen
mercedes-benz,Mercedes-Benz C 200,weiß,06/2019,2019,28690,135,184,Automatik,Benzin,6.4,59000.0,C -Klasse Cabrio (BM 205),Gebrauchtwagen
audi,Audi Q5,grau,10/2012,2012,21298,180,245,Automatik,Diesel,6.4,137391.0,3.0 TDI quattro-SPURHALTE-TOTENWINKEL-BIXENON,Gebrauchtwagen
dacia,Dacia Sandero,grau,07/2017,2017,10980,66,90,Schaltgetriebe,Benzin,5.5,83700.0,TCe 90 Stepway Celebration,Gebrauchtwagen
ford,Ford Focus,silber,05/2018,2018,16999,92,125,Automatik,Benzin,5.5,40000.0,Cool&Connect/Automatik/Winter-Paket/,Gebrauchtwagen
seat,SEAT Arona,rot,09/2020,2020,16800,70,95,Schaltgetriebe,Benzin,4.9,25751.0,1.0 TSI Style (EURO 6d-TEMP),junger Gebrauchtwagen
volkswagen,Volkswagen Touran,blau,03/2011,2011,11684,103,140,Schaltgetriebe,Benzin,6.8,128650.0,1.4 TSI Highline PANORAMAD-CLIMATR-PDC-NAVI-XENON,Gebrauchtwagen
mercedes-benz,Mercedes-Benz CLA 200,weiß,03/2019,2019,25999,115,156,Automatik,Benzin,6.5,59100.0,7G-Tronic AMG-Line+LED+,Gebrauchtwagen
bmw,BMW X3,schwarz,11/2004,2004,3800,141,192,Schaltgetriebe,Benzin,11.2,331000.0,X3 2.5i,Gebrauchtwagen
skoda,Skoda Fabia,silber,03/2022,2022,20595,70,95,Schaltgetriebe,Benzin,4.6,1100.0,Combi  KLIMAAT SHZ PDC LED USB DAB APPLE CARPLAY,junger Gebrauchtwagen
hyundai,Hyundai H-1,weiß,07/2014,2014,15899,100,136,Schaltgetriebe,Diesel,7.5,169992.0,Travel Comfort *1.Hand*8-Sitzer*,Gebrauchtwagen
audi,Audi Q2,weiß,11/2022,2022,28950,110,150,Schaltgetriebe,Benzin,5.9,5159.0,advanced 35TFSI+Sofort Verfügbar+,junger Gebrauchtwagen
mini,MINI One,blau,10/2021,2021,24900,75,102,Automatik,Benzin,5.2,23000.0,Aut. MINI Yours Trim 8-fach Navi PDC 1.Hand,junger Gebrauchtwagen
volkswagen,Volkswagen Tiguan,beige,05/2018,2018,32219,162,220,Automatik,Benzin,7.7,28794.0,2.0 TSI 4Motion Highline*R-Line*DSG*Navi*AHK*Stan,Gebrauchtwagen
opel,Opel Grandland X,blau,07/2021,2021,19990,96,131,Automatik,Benzin,5.0,56245.0,1.2 T[Euro6d] S/S AT Elegance,junger Gebrauchtwagen
skoda,Skoda Kamiq,rot,06/2023,2023,32695,110,150,Automatik,Benzin,6.1,10.0,"1.5 TSI DSG Monte Carlo, AHK, Navi, Kamera, el. Kl",Neuwagen
mercedes-benz,Mercedes-Benz C 200,silber,11/2004,2004,3480,120,163,Schaltgetriebe,Benzin,8.4,248000.0,Kompressor Classic,Gebrauchtwagen
volkswagen,Volkswagen Taigo,grün,04/2023,2023,27990,81,110,Automatik,Benzin,4.9,10.0,1.0 TSI DSG LED AAC SHZ Kam ACC VC,Neuwagen
volkswagen,Volkswagen Polo,schwarz,07/2013,2013,7500,66,90,Schaltgetriebe,Diesel,3.7,149000.0,Polo 1.6 TDI Blue Motion Technology Highline,Gebrauchtwagen
volkswagen,Volkswagen Polo,rot,01/2012,2012,5500,77,105,Schaltgetriebe,Diesel,4.2,216000.0,1.6 TDI Style - AHK - Sitzhz. - Xenon - 17‘,Gebrauchtwagen
bmw,BMW 318,grau,03/2006,2006,4900,95,129,Schaltgetriebe,Benzin,7.3,196500.0,318i,Gebrauchtwagen
mercedes-benz,Mercedes-Benz GLK 220,schwarz,10/2010,2010,9500,125,170,Automatik,Diesel,6.1,270000.0,Automatik /PANORAMA / LICHTPAKET Avantgarde,Gebrauchtwagen
bmw,BMW 220,grau,03/2019,2019,23995,140,190,Automatik,Diesel,4.4,79074.0,dA Luxury Line 1.Hand LED Lede,Gebrauchtwagen
ford,Ford Edge,braun,04/2019,2019,29000,175,238,Automatik,Diesel,8.4,79000.0,Edge 2.0 EcoBlue 4x4 Aut. Vignale,Gebrauchtwagen
ford,Ford Focus,grau,12/2020,2020,17681,70,95,Schaltgetriebe,Diesel,3.7,44703.0,Turnier 1.5 EcoBlue Cool&Connect Navi*LED,junger Gebrauchtwagen
skoda,Skoda Fabia,rot,01/2023,2023,19945,70,95,Schaltgetriebe,Benzin,4.6,2500.0,1.0 TSI Style+Bi-LED+KAMERA+GARANTIE 11/26,Jahreswagen
opel,Opel Zafira,grau,06/2018,2018,19790,103,140,Schaltgetriebe,Benzin,6.2,59379.0,"ZAFIRA C, Edition Plus, LHZ, SHZ, PDC, Kamera",Gebrauchtwagen
audi,Audi A3,silber,01/2018,2018,17740,110,150,Automatik,Diesel,4.6,63211.0,Sportback 2.0TDI S-tronic Navi PDC,Gebrauchtwagen
audi,Audi A1,schwarz,03/2011,2011,6950,63,86,Schaltgetriebe,Benzin,5.1,124800.0,Attraction**STEUERKETTE+BREMSEN+REIFEN NEU**,Gebrauchtwagen
skoda,Skoda Scala,grau,08/2021,2021,22800,110,150,Automatik,Benzin,5.0,22221.0,1.5 TSI Drive 125 OPF (EURO 6d),junger Gebrauchtwagen
opel,Opel Grandland X,rot,12/2020,2020,14845,96,131,Schaltgetriebe,Diesel,4.0,8285.0,INNOVATION  LED Keyless Fernlichtass. PDCv+h LED-h,junger Gebrauchtwagen
dacia,Dacia Sandero,grau,01/2023,2023,18879,67,91,Schaltgetriebe,Benzin,5.6,2.0,Stepway 1.0 TCe 90PS Expression LED-Scheinwerfe...,Neuwagen
nissan,Nissan Qashqai,grau,09/2021,2021,29490,103,140,Schaltgetriebe,Benzin,5.8,30000.0,1.3 DIG-T Mild Hybrid N-Connecta *ACC*PDC*LED*N...,junger Gebrauchtwagen
dacia,Dacia Sandero,braun,09/2017,2017,10750,66,90,Automatik,Diesel,3.6,60850.0,dCi 90 S&S Easy-R Laureate,Gebrauchtwagen
mercedes-benz,Mercedes-Benz Vito,weiß,07/2017,2017,13880,100,136,Schaltgetriebe,Diesel,7.3,240000.0,Kasten 114 CDI lang BlueTEC,Gebrauchtwagen
toyota,Toyota Aygo X,weiß,05/2019,2019,11900,53,72,Schaltgetriebe,Benzin,4.1,41700.0,-play club KAMERA BLUETOOTH,Gebrauchtwagen
mercedes-benz,Mercedes-Benz A 200,weiß,06/2013,2013,13999,100,136,Schaltgetriebe,Diesel,4.3,177000.0,A 200 CDI (BlueEFFICIENCY),Gebrauchtwagen
renault,Renault Laguna,grau,05/2005,2005,3300,79,107,Schaltgetriebe,Benzin,9.5,298000.0,1.6 16V Emotion LPG-Gas/Tüv neu,Gebrauchtwagen
opel,Opel Crossland X,blau,08/2020,2020,20790,96,131,Schaltgetriebe,Benzin,5.1,5705.0,1.2 Start/Stop Edition *beh. Front.*PDC*AHK uvm...,junger Gebrauchtwagen
bmw,BMW 320,silber,10/2006,2006,7900,110,150,Schaltgetriebe,Benzin,7.6,99000.0,i touring ORG 99Tkm Steuerkette Neu TÜV Neu,Gebrauchtwagen
mercedes-benz,Mercedes-Benz C 200,silber,08/2012,2012,13950,135,184,Automatik,Benzin,7.8,105288.0,C -Klasse Lim. CGI BlueEfficiency Elegance,Gebrauchtwagen
renault,Renault Scenic,braun,06/2017,2017,17985,96,131,Schaltgetriebe,Diesel,4.6,38400.0,IV Grand Intens 1.6 dCi NAVI+SPURHALTEASS,Gebrauchtwagen
ford,Ford C-Max,blau,03/2008,2008,7890,107,145,Automatik,Benzin,9.5,38900.0,Ghia KLIMA SCHIEBEDACH PDC,Gebrauchtwagen
skoda,Skoda Octavia,rot,01/2022,2022,34195,110,150,Automatik,Benzin,5.7,34050.0,Combi 1.5 TSI e-TEC Sportline DSG LED,junger Gebrauchtwagen
seat,SEAT Arona,schwarz,05/2022,2022,26990,110,150,Automatik,Benzin,5.0,7879.0,1.5 TSI FR OPF,junger Gebrauchtwagen
kia,Kia Rio,grau,05/2020,2020,13950,62,84,Schaltgetriebe,Benzin,5.5,20000.0,1.2 Edition 7 EU6d-T Klima PDC Tempomat SHZ,junger Gebrauchtwagen
volkswagen,Volkswagen Golf,schwarz,06/2014,2014,13499,103,140,Automatik,Benzin,5.0,138000.0,VII Variant Highline  Navi Sitzheizung AHK,Gebrauchtwagen
mercedes-benz,Mercedes-Benz CLK 200,schwarz,03/2002,2002,4690,120,163,Schaltgetriebe,Benzin,9.5,221000.0,Cabrio Kompressor Avantgarde,Gebrauchtwagen
seat,SEAT Ibiza,rot,11/2019,2019,13870,59,80,Schaltgetriebe,Benzin,5.0,30412.0,Reference 1.0 MPI Klimaanlage el.Fensterheber,Gebrauchtwagen
opel,Opel Grandland X,blau,10/2018,2018,18899,96,131,Automatik,Benzin,5.2,45663.0,1.2 Turbo Edition PDC KAM SHZ,Gebrauchtwagen
bmw,BMW 430,grau,03/2018,2018,31999,190,258,Automatik,Diesel,5.9,77800.0,430d Gran Coupe xDrive Aut. M Sport,Gebrauchtwagen
audi,Audi RS5,blau,06/2019,2019,49960,331,450,Automatik,Benzin,9.1,143904.0,Sportback 2.9l TFSI 331kW qu. Navi MatrixLED B&O,Gebrauchtwagen
opel,Opel Astra,silber,03/2023,2023,27490,96,131,Automatik,Benzin,5.8,10.0,1.2 Turbo GS Line *LED*Sitzheizung*PDC*,Neuwagen
mercedes-benz,Mercedes-Benz A 150,schwarz,01/2005,2005,1999,70,95,Schaltgetriebe,Benzin,7.2,126929.0,A -Klasse (BM 169),Gebrauchtwagen
bmw,BMW X6,weiß,04/2015,2015,26285,180,245,Automatik,Diesel,7.4,198000.0,Active Tourer 220 d*M-SPORT PAKET*PANO*NAVI*AHK*,Gebrauchtwagen
volvo,Volvo V90,schwarz,06/2018,2018,27770,140,190,Automatik,Benzin,6.8,106900.0,T4 GEARTRONIC MOMENTUM+PGD+HUD+RFK+NAV+AHK++,Gebrauchtwagen
volkswagen,Volkswagen T7 Multivan,bronze,08/2022,2022,62870,110,150,Automatik,Diesel,5.4,1000.0,Life *18Zoll*PANORAMA*TISCH*KAMERA*ACC*,junger Gebrauchtwagen
